Ensembl Gene ID	pLI
ENSG00000215405	0.0868643024684935
ENSG00000230031	0.571892791435193
ENSG00000138593	0.10171305162342
ENSG00000166157	5.114037387424539e-31
ENSG00000166351	0.736659832423479
ENSG00000168675	0.37730639529276794
ENSG00000188992	8.82542393516549e-09
ENSG00000185272	2.91015515635607e-05
ENSG00000183706	0.0180506007874978
ENSG00000155304	0.0018863698928211897
ENSG00000166200	0.9995728433956941
ENSG00000155307	0.0756023579713905
ENSG00000153575	0.00012619716719476298
ENSG00000180530	0.991172158226933
ENSG00000137824	0.023779597676249
ENSG00000137880	0.0418968845933878
ENSG00000104129	0.0285392981407643
ENSG00000177150	0.0151243026401628
ENSG00000155313	0.990130458125693
ENSG00000101638	0.0183928498018628
ENSG00000154639	0.342891274842555
ENSG00000101654	0.0809328060183284
ENSG00000078043	0.9979422606746441
ENSG00000156958	8.741200318903951e-06
ENSG00000154640	0.696545555394833
ENSG00000249139	0.00011121407416811201
ENSG00000158901	4.97250859518292e-06
ENSG00000140416	0.79947002234679
ENSG00000180205	0.0108113463900981
ENSG00000154642	0.00484582012569912
ENSG00000140577	0.9839299564176421
ENSG00000166140	7.40857843667129e-09
ENSG00000101138	0.9378958699366879
ENSG00000154645	0.00128507754633277
ENSG00000180305	0.27466328624646996
ENSG00000068793	0.9949330316182591
ENSG00000180083	0.00335013836988599
ENSG00000182931	0.0148433867661418
ENSG00000154646	1.2897709981496298e-18
ENSG00000168634	0.252946356503913
ENSG00000149651	0.0933895217408077
ENSG00000101365	3.06237188855065e-05
ENSG00000167216	0.000125861969085373
ENSG00000124116	0.019237531618367998
ENSG00000087589	0.296175209094422
ENSG00000154654	0.922157338297282
ENSG00000166143	0.0303416533365849
ENSG00000166262	2.74008557766254e-16
ENSG00000176136	0.00108831422696949
ENSG00000185231	0.0574474574260785
ENSG00000103642	0.0026596120791923398
ENSG00000197299	4.1385967404089203e-11
ENSG00000154719	0.000718691512555642
ENSG00000175322	8.85353913956773e-07
ENSG00000101160	1.3153422123697199e-09
ENSG00000022277	0.00393227636872296
ENSG00000166145	0.00152362991906225
ENSG00000088881	0.0780569989244377
ENSG00000101162	7.16532359955701e-06
ENSG00000140285	0.874992687904998
ENSG00000183206	0.161704413964799
ENSG00000101457	0.43143668779990596
ENSG00000154721	0.148660697111206
ENSG00000124172	0.0060568330836871
ENSG00000185088	0.33585190187747704
ENSG00000206181	1.8036755918873103e-08
ENSG00000166128	0.0495152480226271
ENSG00000175063	0.21875261627618103
ENSG00000101166	0.24136867864781
ENSG00000167220	0.000427885483918572
ENSG00000154723	0.100188831785232
ENSG00000171448	0.0154751252760809
ENSG00000124103	0.0316770454966637
ENSG00000104047	1.4054382775954999e-05
ENSG00000088882	2.33840235512205e-11
ENSG00000213714	0.0297206395001582
ENSG00000104140	0.5903119985111539
ENSG00000140564	0.9999333009293521
ENSG00000140157	0.487193753650621
ENSG00000154727	0.9737891611666021
ENSG00000087510	0.9399509744035479
ENSG00000124203	7.648816418775541e-09
ENSG00000101470	0.547150267315584
ENSG00000104142	0.939243017183049
ENSG00000138613	0.000234972220416475
ENSG00000011454	0.9999997997703279
ENSG00000134049	0.0184346889412637
ENSG00000124205	0.0723949084714923
ENSG00000128917	0.982859473655879
ENSG00000180777	1.4946934567635999e-09
ENSG00000101144	0.9812867680037901
ENSG00000215474	0.611171343025554
ENSG00000258713	0.00012291076136103702
ENSG00000188394	0.0246511140506383
ENSG00000172785	0.642141452095713
ENSG00000132635	0.0160267066093378
ENSG00000175387	0.988180754171779
ENSG00000104043	2.4216439430567396e-27
ENSG00000165209	0.999902421283963
ENSG00000182511	2.77390387287312e-05
ENSG00000170113	0.21409749585235502
ENSG00000054796	0.000356300036119442
